Unnamed: 0,time,carrera,acepta,positivo,negativo,edad,sexo,trabajo
14,08/11/2020,Contaduría Pública,Si,Horario flexible.,Conexión a internet.,22,Mujer,Sí
185,27/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,22,Mujer,Eventual
135,22/11/2020,Administración de Empresas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,22,Mujer,Sí
147,22/11/2020,Otra,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",22,Mujer,Eventual
58,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,22,Mujer,Sí
44,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,22,Hombre,Eventual
136,22/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Sí
208,08/12/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Sí
171,25/11/2020,Gestión Turística y Hotelera,No,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",21,Hombre,Eventual
228,09/12/2020,Psicología,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,21,Mujer,No
113,15/11/2020,Administración de Empresas,Si,Autonomía.,Conexión a internet.,21,Hombre,Sí
124,19/11/2020,Otra,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Eventual
81,10/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",21,Hombre,No
132,20/11/2020,Ingeniería de Sistemas,No,Horario flexible.,Conexión a internet.,21,Hombre,Sí
67,09/11/2020,Derecho,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Sí
55,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,21,Hombre,Eventual
99,13/11/2020,Otra,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",21,Hombre,Sí
11,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Eventual
49,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Sí
2,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",20,Mujer,Sí
23,09/11/2020,Artes Plásticas,Si,Horario flexible.,Conexión a internet.,20,Hombre,Eventual
0,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Eventual
122,19/11/2020,Contaduría Pública,Si,Acceso desde cualquier lugar.,Conexión a internet.,20,Mujer,Eventual
8,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Sí
51,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,20,Mujer,No
21,09/11/2020,Historia,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Eventual
7,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Sí
60,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,20,Hombre,No
233,11/12/2020,Ingeniería Agronómica,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,20,Mujer,Sí
227,09/12/2020,Comercio Internacional,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",20,Mujer,Sí
221,08/12/2020,Trabajo Social,No,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",20,Mujer,Sí
181,27/11/2020,Derecho,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",20,Hombre,Sí
